Snack Name,Ingredients,Allergy,Price
Duke's Smoked Shorty Sausages Hatch Green Chile - 5 oz/8 pack,"PORK, DICED HATCH GREEN CHILES, SEA SALT, CANE SUGAR, SPICES, NATURAL FLAVOR, YEAST EXTRACT, DRIED GARLIC, VINEGAR, DRIED JALAPENO PEPPER, DRIED GREEN BELL PEPPER, CITRIC ACID.",,$52.06
Duke's Smoked Shorty Sausages Hickory Peach BBQ - 5 oz/8 pack,"PORK, PEACHES, CANE SUGAR, SEA SALT, SPICES, BROWN CANE SUGAR, NATURAL FLAVOR, DRIED TOMATO, VINEGAR, DRIED ONION, YEAST EXTRACT, CITRIC ACID, DRIED GARLIC. MADE WITH BEEF COLLAGEN CASINO (CARAMEL, CARMINE).",,$52.06
Turkey Bites Honey Brown Sugar Turkey Sausage - 4 oz/12 pack,,,$35.10
Clif Cool Mint Chocolate Bar - 2.4 oz/12 pack,"Organic Rolled Oats, Organic Brown Rice Syrup, Soy Rice Crisps (Soy Protein Isolate, Rice Flour, Barley Malt Extract), Organic Roasted Soybeans, Organic Tapioca Syrup, Organic Cane Syrup, Chicory Fiber, Cocoa, Unsweetened Chocolate, Organic Soy Flour, Sunflower and/or Soybean Oil Organic Cane Sugar, Natural Flavors, Organic Cocoa Butter, Salt, Green Tea Extract (Contains Caffeine), Organic Soy Lecithin, Mixed Tocopherols (Antioxidant).",Milk; Wheat; Soy/Soybeans,$19.05
Clif White Chocolate Macadamia Nut Bar - 2.4 oz/12 pack,"Organic Rolled Oats, Organic Brown Rice Syrup, Organic Roasted Soybeans, Soy Rice Crisps (Soy Protein Isolate, Rice Flour, Barley Malt Extract), Organic Tapioca Syrup, Organic Cane Syrup, Macadamia Nuts, Chicory Fiber, Organic Soy Flour, Sunflower and/or Soybean Oil, Organic Cane Sugar, Cane Sugar, Natural Flavors, Salt, Cocoa Butter, Soy Flour, Mixed Tocopherols (Antioxidant), Soy Lecithin.",Milk; Tree Nuts; Wheat; Soy/Soybeans,$19.05
Clif Chocolate Brownie Bar - 2.4 oz/12 pack,"Organic Rolled Cars, Organic Brown Rice Syrup, Soy Rice Crisps (Soy Protein Isolate, Rice Flour, Barley Malt Extract, Organic Roasted Soybeans, Organic Tapioca Syrup, Organic Cane Syrup, Chicory Fiber, Unsweetened Chocolate, Cocoa, Organic Soy Flour, Sunflower and/or Soybean Oil Natural Flavors, Alkalized Cocoa, Salt, Mixed Tocopherols (Antioxidant).",Milk; Wheat; Soy/Soybeans,$19.05
Clif Nut Butter Filled Chocolate Peanut Butter Bar - 1.76 oz/12 pack,"Peanut Butter (Organic Ingredient), Rolled Oats (Organic Ingredient), Oat Flour, Brown Rice Syrup, Cane Syrup (Organic Ingredient), Date Paste, Pea Protein, Sunflower and/or Soybean Oil (Organic Ingredient), Rice Starch, Tapioca Syrup (Organic Ingredient), Palm Oil (Organic Ingredient), Peanut Flour, Cane Sugar (Organic Ingredient), Rice Flour (Organic Ingredient), Vegetable Glycerin, Unsweetened Chocolate, Cocoa, Natural Flavors, Salt, Alkalized Cocoa, Soy Lecithin, Mixed Tocopherols (Antioxidant).",Milk; Tree Nuts; Wheat; Peanuts/ Peanut Oil; Soy/Soybeans,$24.24
Clif Nut Butter Filled Peanut Butter Bar - 1.76 oz/12 pack,"Peanut Butter (Organic Ingredient), Oat Flour (Organic Ingredient), Rolled Oats (Organic Ingredient), Brown Rice Syrup (Organic Ingredient), Date Paste (Organic Ingredient), Cane Syrup (Organic Ingredient), Pea Protein (Organic Ingredient), Tapioca Syrup (Organic Ingredient), Rice Starch (Organic Ingredient), Sunflower and/or Soybean Oil (Organic Ingredient), Palm Oil (Organic Ingredient), Peanut Flour (Organic Ingredient), Cane Sugar (Organic Ingredient), Rice Flour (Organic Ingredient), Natural Flavors, Peanuts (Organic Ingredient), Vegetable Glycerin, Salt, Soy Lecithin (Organic Ingredient), Mixed Tocopherols (Antioxidant).",Milk; Tree Nuts; Wheat; Peanuts/ Peanut Oil; Soy/Soybeans,$24.24
KIND Dark Chocolate Nuts & Sea Salt Bar - 1.4 oz/12 pack,"ALMONDS, PEANUTS, CHICORY ROOT FIBER, HONEY, PALM KERNEL OIL, SUGAR, GLUCOSE SYRUP, RICE FLOUR, UNSWEETENED CHOCOLATE, COCOA POWDER, SEA SALT, SOY LECITHIN, NATURAL FLAVOR, COCOA BUTTER.",Tree Nuts; Peanuts/ Peanut Oil; Soy/Soybeans,$19.35
KIND Oats & Honey With Toasted Coconut Granola Bar - 1.2 oz/12 pack,"OATS, CANE SUGAR, TAPIOCA SYRUP, CANOLA OIL, BROWN RICE, MILLET, HONEY, COCONUT, BUCKWHEAT, BROWN RICE FLOUR, AMARANTH, OAT FLOUR, GUM ACACIA, SEA SALT, QUINOA, BROWN RICE SYRUP, VITAMIN E (TOCOPHEROLS TO MAINTAIN FRESHNESS).",Tree Nuts,$9.45
